Nr,Sp,Peso_gr,Longitud_mm,Diametro_mm,Cond
315,ER,0.87,20.02,12.74,Pobre
316,ER,5.36,24.69,19.18,Q4
317,ER,5.48,25.76,20.04,Q4
318,ER,4.2,24.49,17.7,Q2
319,ER,4.97,24.4,19.25,Q3
320,ER,4.91,24.69,18.59,Q3
321,ER,4.83,25.14,18.31,Q3
322,ER,4.75,25.46,18.78,Q3
323,ER,4.92,26.15,18.09,Q3
324,ER,4.45,25.65,17.44,Q2
325,ER,5.43,25.15,18.86,Q4
326,ER,4.16,23.91,17.39,Q2
327,ER,2.97,22.68,15.48,Q1
328,ER,4.11,24.64,17.11,Q2
329,ER,3.65,23.29,16.86,Q1
330,ER,4.25,24.37,17.55,Q2
331,ER,4.73,25.56,17.9,Q3
332,ER,5.1,24.1,19.56,Q4
333,ER,5.21,25.21,18.21,Q4
334,ER,4.27,24.19,17.48,Q2
335,ER,3.73,23.49,17.29,Q1
336,ER,3.64,25.24,15.78,Q1
337,ER,3.68,22.85,16.43,Q1
338,ER,3.82,24.76,16.66,Q1
339,ER,3.86,23.66,16.54,Q1
340,ER,3.36,24.51,15.98,Q1
341,ER,3.99,23.56,16.66,Q1
342,ER,4.88,23.82,18.42,Q3
343,ER,5.69,24.35,19.69,Q4
344,ER,5.75,23.86,20.14,Q4
345,ER,4.61,25.46,17.28,Q3
346,ER,4.2,23.95,17.2,Q2
347,ER,4.59,24.52,17.44,Q3
348,ER,5.85,24.25,19.8,Q4
349,ER,5.96,26.7,19.33,Q4
350,ER,4.19,24.88,17.27,Q2
351,ER,5.44,26.41,18.09,Q4
352,ER,4.47,25.41,16.58,Q2
353,ER,4.01,24.34,17.05,Q1
354,ER,4.59,25.03,16.97,Q3
355,ER,5.29,24.2,18.36,Q4
356,ER,5.44,23.97,19.18,Q4
357,ER,5.7,24.7,20.31,Q4
358,ER,3.95,23.87,17.51,Q1
359,ER,5.54,24.39,19.3,Q4
360,ER,5.5,24.3,19.8,Q4
361,ER,4.87,24.74,18.33,Q3
362,ER,4.76,25.38,17.94,Q3
363,ER,2.67,22.36,15.57,Pobre
364,ER,4.85,24.71,17.98,Q3
365,ER,5.24,23.48,19.73,Q4
366,ER,5.75,24.69,20.02,Q4
367,ER,4.94,22.88,18.45,Q3
368,ER,4.04,24.68,16.4,Q1
369,ER,4.7,23.51,18.74,Q3
370,ER,4.32,24.49,17.23,Q2
371,ER,2.8,21.64,15.12,Q1
372,ER,5.75,24.76,19.59,Q4
373,ER,3.19,21.52,16.16,Q1
374,ER,5.37,26.55,18.37,Q4
375,ER,5.68,24.37,19.47,Q4
376,ER,3.91,24.19,18.28,Q1
377,ER,4.79,24.5,18.52,Q3
378,ER,4.43,25.18,16.73,Q2
379,ER,4.57,24.19,18.46,Q3
380,ER,4.26,24,17.78,Q2
381,ER,5.11,25,19.45,Q4
382,ER,4.81,25.03,17.36,Q3
383,ER,4.84,25.09,18.83,Q3
384,ER,4.91,24.07,18.42,Q3
385,ER,5.29,23.16,19.89,Q4
386,ER,2.94,21.4,15.31,Q1
387,ER,4.21,24.37,17.56,Q2
388,ER,5.47,25.49,19.02,Q4
389,ER,5.2,25.16,18.87,Q4
390,ER,3.26,24.15,16.28,Q1
391,ER,4.77,24.28,18.48,Q3
392,ER,3.3,25.7,15.13,Q1
393,ER,2.2,22.36,14.24,Pobre
394,ER,4.29,24.02,17.34,Q2
395,ER,6.21,25.1,20.44,Q4
396,ER,4.86,25.2,18.64,Q3
397,ER,4.83,23.34,18.27,Q3
398,ER,5.21,23.44,19.48,Q4
399,ER,4.59,25.58,17.15,Q3
400,ER,2.96,24.63,15.39,Q1
401,ER,4.99,25.04,18.85,Q4
